macAddress,locationCoordinate_x,locationCoordinate_y,confidenceFactor,maxDetectedRssi,CMX_lastSeen,Real_Time,RMSE,Test_point,associated,locComputeType
dc:a6:32:26:67:ab,14.024627,0,80,-57,2022-07-08T12:32:58.039+0100,7/8/2022 12:32,0.901267,1,,
dc:a6:32:26:67:ab,13.610619,0,80,-60,2022-07-08T12:33:00.046+0100,7/8/2022 12:33,0.487259,1,,
dc:a6:32:26:67:ab,13.610619,0,80,-60,2022-07-08T12:33:00.046+0100,7/8/2022 12:33,0.487259,1,,
dc:a6:32:26:67:ab,13.586033,0,80,-58,2022-07-08T12:33:02.090+0100,7/8/2022 12:33,0.462673,1,,
dc:a6:32:26:67:ab,13.586033,0,80,-58,2022-07-08T12:33:02.090+0100,7/8/2022 12:33,0.462673,1,,
dc:a6:32:26:67:ab,16.000082,0,80,-57,2022-07-08T12:33:04.102+0100,7/8/2022 12:33,2.876722,1,,
dc:a6:32:26:67:ab,16.000082,0,80,-57,2022-07-08T12:33:04.102+0100,7/8/2022 12:33,2.876722,1,,
dc:a6:32:26:67:ab,14.40026,0,80,-58,2022-07-08T12:33:06.178+0100,7/8/2022 12:33,1.2769,1,,
dc:a6:32:26:67:ab,14.40026,0,80,-58,2022-07-08T12:33:06.178+0100,7/8/2022 12:33,1.2769,1,,
dc:a6:32:26:67:ab,12.801811,0,80,-58,2022-07-08T12:33:08.195+0100,7/8/2022 12:33,0.321549,1,,
dc:a6:32:26:67:ab,12.801811,0,80,-58,2022-07-08T12:33:08.195+0100,7/8/2022 12:33,0.321549,1,,
dc:a6:32:26:67:ab,13.18723,0,80,-57,2022-07-08T12:33:10.238+0100,7/8/2022 12:33,0.06387,1,,
dc:a6:32:26:67:ab,13.18723,0,80,-57,2022-07-08T12:33:10.238+0100,7/8/2022 12:33,0.06387,1,,
dc:a6:32:26:67:ab,15.188524,0,80,-57,2022-07-08T12:33:12.251+0100,7/8/2022 12:33,2.065164,1,,
dc:a6:32:26:67:ab,15.188524,0,80,-57,2022-07-08T12:33:12.251+0100,7/8/2022 12:33,2.065164,1,,
dc:a6:32:26:67:ab,12.415302,0,80,-59,2022-07-08T12:33:14.321+0100,7/8/2022 12:33,0.708058,1,,
dc:a6:32:26:67:ab,12.415302,0,80,-59,2022-07-08T12:33:14.321+0100,7/8/2022 12:33,0.708058,1,,
dc:a6:32:26:67:ab,12.803228,0,80,-57,2022-07-08T12:33:16.334+0100,7/8/2022 12:33,0.320132,1,,
dc:a6:32:26:67:ab,13.1899395,0,80,-57,2022-07-08T12:33:18.378+0100,7/8/2022 12:33,0.0665795,1,,
dc:a6:32:26:67:ab,13.1899395,0,80,-57,2022-07-08T12:33:18.378+0100,7/8/2022 12:33,0.0665795,1,,
dc:a6:32:26:67:ab,12.372883,0,80,-59,2022-07-08T12:33:20.394+0100,7/8/2022 12:33,0.750477,1,,
dc:a6:32:26:67:ab,12.372883,0,80,-59,2022-07-08T12:33:20.394+0100,7/8/2022 12:33,0.750477,1,,
dc:a6:32:26:67:ab,9.990417,0,80,-57,2022-07-08T12:33:22.489+0100,7/8/2022 12:33,3.132943,1,,
dc:a6:32:26:67:ab,9.990417,0,80,-57,2022-07-08T12:33:22.489+0100,7/8/2022 12:33,3.132943,1,,
dc:a6:32:26:67:ab,11.606616,0,80,-58,2022-07-08T12:33:24.490+0100,7/8/2022 12:33,1.516744,1,,
dc:a6:32:26:67:ab,11.606616,0,80,-58,2022-07-08T12:33:24.490+0100,7/8/2022 12:33,1.516744,1,,
dc:a6:32:26:67:ab,14.039711,0,80,-57,2022-07-08T12:33:26.526+0100,7/8/2022 12:33,0.916351,1,,
dc:a6:32:26:67:ab,14.039711,0,80,-57,2022-07-08T12:33:26.526+0100,7/8/2022 12:33,0.916351,1,,
dc:a6:32:26:67:ab,14.438514,0,80,-57,2022-07-08T12:33:28.543+0100,7/8/2022 12:33,1.315154,1,,
dc:a6:32:26:67:ab,14.438514,0,80,-57,2022-07-08T12:33:28.543+0100,7/8/2022 12:33,1.315154,1,,
dc:a6:32:26:67:ab,17.633913,0,80,-56,2022-07-08T12:33:30.632+0100,7/8/2022 12:33,4.510553,1,,
dc:a6:32:26:67:ab,17.633913,0,80,-56,2022-07-08T12:33:30.632+0100,7/8/2022 12:33,4.510553,1,,
dc:a6:32:26:67:ab,17.174856,0,80,-57,2022-07-08T12:33:32.633+0100,7/8/2022 12:33,4.051496,1,,
dc:a6:32:26:67:ab,17.174856,0,80,-57,2022-07-08T12:33:32.633+0100,7/8/2022 12:33,4.051496,1,,
dc:a6:32:26:67:ab,14.745724,0,80,-57,2022-07-08T12:33:34.675+0100,7/8/2022 12:33,1.622364,1,,
dc:a6:32:26:67:ab,14.745724,0,80,-57,2022-07-08T12:33:34.675+0100,7/8/2022 12:33,1.622364,1,,
dc:a6:32:26:67:ab,12.370295,0,80,-57,2022-07-08T12:33:36.676+0100,7/8/2022 12:33,0.753065,1,,
dc:a6:32:26:67:ab,11.57099,0,80,-58,2022-07-08T12:33:38.689+0100,7/8/2022 12:33,1.55237,1,,
dc:a6:32:26:67:ab,11.57099,0,80,-58,2022-07-08T12:33:38.689+0100,7/8/2022 12:33,1.55237,1,,
dc:a6:32:26:67:ab,8.81556,0,80,-58,2022-07-08T12:33:40.721+0100,7/8/2022 12:33,4.3078,1,,
dc:a6:32:26:67:ab,8.81556,0,80,-58,2022-07-08T12:33:40.721+0100,7/8/2022 12:33,4.3078,1,,
dc:a6:32:26:67:ab,10.012326,0,80,-57,2022-07-08T12:33:42.720+0100,7/8/2022 12:33,3.111034,1,,
dc:a6:32:26:67:ab,10.012326,0,80,-57,2022-07-08T12:33:42.720+0100,7/8/2022 12:33,3.111034,1,,
dc:a6:32:26:67:ab,10.797809,0,80,-58,2022-07-08T12:33:44.757+0100,7/8/2022 12:33,2.325551,1,,
dc:a6:32:26:67:ab,10.797809,0,80,-58,2022-07-08T12:33:44.757+0100,7/8/2022 12:33,2.325551,1,,
dc:a6:32:26:67:ab,9.995875,0,80,-59,2022-07-08T12:33:46.763+0100,7/8/2022 12:33,3.127485,1,,
dc:a6:32:26:67:ab,9.995875,0,80,-59,2022-07-08T12:33:46.763+0100,7/8/2022 12:33,3.127485,1,,
dc:a6:32:26:67:ab,12.825226,0,80,-57,2022-07-08T12:33:48.764+0100,7/8/2022 12:33,0.298134,1,,
dc:a6:32:26:67:ab,12.825226,0,80,-57,2022-07-08T12:33:48.764+0100,7/8/2022 12:33,0.298134,1,,
dc:a6:32:26:67:ab,12.815601,0,80,-58,2022-07-08T12:33:50.791+0100,7/8/2022 12:33,0.307759,1,,
dc:a6:32:26:67:ab,12.815601,0,80,-58,2022-07-08T12:33:50.791+0100,7/8/2022 12:33,0.307759,1,,
dc:a6:32:26:67:ab,13.6174135,0,80,-58,2022-07-08T12:33:52.801+0100,7/8/2022 12:33,0.4940535,1,,
dc:a6:32:26:67:ab,15.214606,0,80,-58,2022-07-08T12:33:54.835+0100,7/8/2022 12:33,2.091246,1,,
dc:a6:32:26:67:ab,15.214606,0,80,-58,2022-07-08T12:33:54.835+0100,7/8/2022 12:33,2.091246,1,,
dc:a6:32:26:67:ab,17.598326,0,80,-57,2022-07-08T12:33:56.836+0100,7/8/2022 12:33,4.474966,1,,
dc:a6:32:26:67:ab,17.598326,0,80,-57,2022-07-08T12:33:56.836+0100,7/8/2022 12:33,4.474966,1,,
